ID,Input,Output
1,10.290000000000001,93.34
1,10.35,98.21
1,10.82,93.03
1,11.25,84.685
1,11.290000000000001,86.13
1,11.35,82.025
1,11.84,78.66
1,11.92,80.27
1,12.05,78.87
1,12.280000000000001,74.70500000000001
1,12.38,73.52000000000001
1,12.84,72.65
1,12.92,72.85
1,13.07,71.93
1,13.3,72.27
1,13.36,69.3
1,13.47,68.69
1,13.74,68.95
1,13.86,69.47
1,13.9,68.38
1,13.93,67.7
1,14.01,68.83
1,14.09,68.68
1,14.3,69.42
1,15.16,70.69
2,13.05,90.52
2,13.07,99.3
2,13.19,91.95
2,13.32,88.42
2,13.41,83.08
2,13.780000000000001,83.02
2,13.9,82.72
2,14.030000000000001,82.33
2,14.09,84.01
2,14.200000000000001,83.65
2,14.22,80.09
2,14.24,81.98
2,14.32,80
2,14.450000000000001,81.45
2,14.76,87.49
2,15.030000000000001,84.94
2,15.08,83.61
2,15.1,85.15
2,15.32,81.74
2,15.780000000000001,81.37
2,16.2,81.55
3,10.85,94.86
3,11.24,89.6
3,11.370000000000001,88.03
3,11.43,88.68
3,11.83,85.06
3,12.31,80.93
3,12.33,80.16
3,12.93,80.55
3,13.18,77.68
3,13.25,78.15
3,13.77,78.23
3,13.870000000000001,75.64
3,14.040000000000001,77.81
3,14.06,77.37
3,14.19,74.66
3,14.23,74.93
3,14.25,74.48
3,14.36,72.51
3,14.4,76.02
4,10.98,96.86
4,11.040000000000001,98.56
4,11.17,90.72
4,11.21,89.62
4,11.48,79.68
4,11.5,79.81
4,11.9,75.96
4,12.02,76.18
4,12.040000000000001,74.06
4,12.31,71.89
4,12.38,73.84
4,13.02,69.1
4,13.05,66.95
4,13.09,66.21
4,13.19,68.53
4,13.21,68.88
4,13.22,69.11
4,13.26,68.8
4,13.34,69.31
4,13.4,69.71
4,13.61,67.06
4,13.88,69.31
4,14.3,66.71
4,14.49,65.96
4,14.88,67.13
4,14.9,65.92
4,15.01,62.88
4,15.09,62.95
4,15.22,65.69
4,15.34,65.01
4,15.55,65.42
4,15.57,65
4,16.080000000000002,63.94
4,16.51,64.56
4,16.56,63.94
5,10.49,102.34
5,11.05,98.34
5,11.34,90.24
5,11.49,84.95
5,11.55,84.44
5,11.64,85.48
5,12.05,81.06
5,13.06,82.55
5,13.16,75.59
5,13.35,74.19
5,13.52,73.71
5,13.75,75.03
5,14.06,75.1
5,14.16,71.53
5,15.06,74.9
5,15.58,71.47
5,16.05,72.03
6,10.07,108.21
6,11.83,99.28
6,11.96,92.8
6,12.83,86.9
6,13.69,78.67
6,13.74,80.5
6,13.77,78.05
6,13.96,79.12
6,14.040000000000001,79.32
6,14.08,74.31
6,14.31,74.41
6,14.36,74.62
6,14.67,74.79
6,14.73,73.49
6,14.77,71.04
6,14.81,71.79
6,15.05,72.04
6,15.32,71.54
7,11.53,122.07
7,13.31,96.15
7,13.58,94.7
7,14.6,89.49
7,15.31,80.47
7,15.46,85.89
7,15.610000000000001,82.38
7,16.15,81.26
7,16.27,85.29
7,16.28,79.63
7,16.4,83.39
7,17.150000000000002,78.66
7,17.28,78.56
7,17.44,77.76
7,17.68,78.38
7,18.11,79.88
7,18.32,79.12
7,18.45,80.43
8,12.56,85.35
8,13.02,81.76
8,13.06,80.11
8,13.36,78.32
8,13.59,82.17
8,13.92,78.59
8,14.05,76.28
8,14.25,76.08
8,14.32,77.85
8,14.4,73.7
8,14.55,76.82
8,14.59,74.51
8,15.22,73.92
8,16.01,70.89
8,16.05,70.45
8,16.490000000000002,74.09
8,16.53,76.33
9,10.74,78.08
9,10.84,77.3
9,11.43,76.65
9,11.620000000000001,76.9
9,11.83,74.4
9,12.42,75.08
9,12.540000000000001,72.13
9,12.65,71.195
9,12.83,71.41
9,13.35,70.17
9,13.4,69.8
9,13.42,68.05
9,13.46,70.06
9,13.540000000000001,71.02
9,13.56,68.49
9,13.620000000000001,67.64
9,13.83,69.31
9,13.9,69.465
9,14.35,68.92
9,14.46,65.995
9,14.540000000000001,67.71
9,14.65,66.97
9,14.69,66.93
9,14.81,67.84
9,14.98,67.48
10,11.9,70.2
10,12.02,71.89
10,12.59,68.87
10,12.9,66.45
10,13.01,64.35
10,13.09,63.66
10,13.11,67.05000000000001
10,13.55,64.82
10,13.59,65.03
10,13.780000000000001,65.93
10,13.99,62.675
10,14.13,65.045
10,14.17,63.91
10,14.530000000000001,62.41
10,14.68,62.71
10,14.870000000000001,60.98
10,14.98,61.59
10,15.030000000000001,62.64
10,15.120000000000001,62.59
10,15.17,61.07
10,15.51,60.2
10,15.56,60.93
10,15.6,59.36
10,15.700000000000001,62.37
10,15.77,61.21
10,15.83,60.46
10,15.85,59.745000000000005
10,15.91,60.59
10,16.02,62.07
10,16.080000000000002,64.56
10,16.12,60.975
10,16.16,60.364999999999995
10,16.45,62.66
10,16.580000000000002,61.87
10,16.73,62.31
10,16.85,61.08
10,16.92,61.44
10,16.94,60.37
10,17,60.99
10,17.12,61.33
10,17.18,61.42
10,17.44,62.52
10,17.6,59.32
10,17.71,62.44
10,17.75,59.695
10,17.85,59.535
10,17.92,60.92
10,18.04,60.55
10,18.42,61.57
10,18.73,59.59
10,18.81,58.97
10,18.85,59.17
10,18.88,58.615
10,19.07,60.52
10,19.11,59.375
10,19.44,60.77
10,19.51,57.83
10,19.7,58.715
10,19.76,60.239999999999995
10,19.8,59
10,19.84,58.94
10,19.91,58.04
11,10.03,81.26499999999999
11,10.89,78.94
11,10.99,77.43
11,11.1,73.575
11,11.83,72.18
11,11.870000000000001,69.23
11,12.120000000000001,68.33
11,12.27,67.12
11,12.83,66.28
11,12.950000000000001,68.98
11,13.1,68
11,13.18,67.64
11,13.23,65.88
11,13.61,67.21
11,13.65,66.96
11,13.69,65.71
11,13.73,64.96
11,13.82,70.39
11,13.92,67.16
11,14.15,70.07
11,14.21,67.12
12,11.33,79.48
12,11.49,75.71
12,11.64,72.9
12,11.75,73.62
12,11.83,73.01
12,11.870000000000001,72.07
12,12.33,73.34
12,12.44,75.55000000000001
12,12.6,72.37
12,12.64,74.43
12,12.73,75.42
12,12.790000000000001,74.18
12,13.36,77.08
12,13.790000000000001,80.31
12,14.44,80.44
12,14.65,83.84
12,14.75,84.73
13,10.93,83.57
13,11.36,80.46
13,11.42,80.49
13,11.56,78.56
13,11.73,75.27
13,11.85,75.95
13,11.88,77.36
13,11.92,77.93
13,11.96,77.87
13,12.31,72.38
13,12.56,74.08
13,12.59,72.45
13,12.61,72.97
13,12.77,71.17
13,13.530000000000001,69.53
13,13.57,69.315
13,13.61,66.81
13,13.63,69.13
13,13.73,68.78
13,13.75,67.88
13,14.280000000000001,72.08
13,14.4,71.51
13,14.47,67.25
14,15.040000000000001,65.265
14,15.42,64.82
14,15.58,64.625
14,15.73,64.03999999999999
14,15.860000000000001,63.92
14,16,63.165
14,16.04,63.879999999999995
14,16.52,63.25
14,16.65,62.84
14,16.75,61.855000000000004
